file_name,variant,case_id,meeting_title,meeting_date,wave,labels,meeting_note,expected_task_count
W1-SHORT-C1-N0-IT-DASG-ABS-002.txt,transcript_only,W1-SHORT-C1-N0-IT-DASG-ABS-002,Theo dõi tiến độ tài liệu,2026-01-17,1,direct_assignment;absolute_date;clean_transcript,no,2
W1-SHORT-C1-N0-IT-DASG-ABS-002__with-note.txt,with_note,W1-SHORT-C1-N0-IT-DASG-ABS-002,Theo dõi tiến độ tài liệu,2026-01-17,1,direct_assignment;absolute_date;clean_transcript,yes,2
W1-SHORT-C1-N0-IT-DASG-ABS-010.txt,transcript_only,W1-SHORT-C1-N0-IT-DASG-ABS-010,Theo dõi tiến độ tài liệu,2026-01-25,1,direct_assignment;absolute_date;clean_transcript,no,2
W1-SHORT-C1-N0-IT-DASG-ABS-010__with-note.txt,with_note,W1-SHORT-C1-N0-IT-DASG-ABS-010,Theo dõi tiến độ tài liệu,2026-01-25,1,direct_assignment;absolute_date;clean_transcript,yes,2
W1-SHORT-C1-N0-IT-DASG-ABS-018.txt,transcript_only,W1-SHORT-C1-N0-IT-DASG-ABS-018,Theo dõi tiến độ tài liệu,2026-02-02,1,direct_assignment;absolute_date;clean_transcript,no,2
W1-SHORT-C1-N0-IT-DASG-ABS-018__with-note.txt,with_note,W1-SHORT-C1-N0-IT-DASG-ABS-018,Theo dõi tiến độ tài liệu,2026-02-02,1,direct_assignment;absolute_date;clean_transcript,yes,2
W1-SHORT-C1-N0-IT-FPC-DM-006.txt,transcript_only,W1-SHORT-C1-N0-IT-FPC-DM-006,Theo dõi tiến độ tài liệu,2026-01-21,1,first_person_commitment;day_month_deadline;mild_noise,no,1
W1-SHORT-C1-N0-IT-FPC-DM-006__with-note.txt,with_note,W1-SHORT-C1-N0-IT-FPC-DM-006,Theo dõi tiến độ tài liệu,2026-01-21,1,first_person_commitment;day_month_deadline;mild_noise,yes,1
W1-SHORT-C1-N0-IT-FPC-DM-014.txt,transcript_only,W1-SHORT-C1-N0-IT-FPC-DM-014,Theo dõi tiến độ tài liệu,2026-01-29,1,first_person_commitment;day_month_deadline;mild_noise,no,4
W1-SHORT-C1-N0-IT-FPC-DM-014__with-note.txt,with_note,W1-SHORT-C1-N0-IT-FPC-DM-014,Theo dõi tiến độ tài liệu,2026-01-29,1,first_person_commitment;day_month_deadline;mild_noise,yes,4
W1-SHORT-C1-N0-OPS-FPC-NDL-008.txt,transcript_only,W1-SHORT-C1-N0-OPS-FPC-NDL-008,Chuẩn bị bản demo,2026-01-23,1,first_person_commitment;no_deadline;mild_noise,no,2
W1-SHORT-C1-N0-OPS-FPC-NDL-008__with-note.txt,with_note,W1-SHORT-C1-N0-OPS-FPC-NDL-008,Chuẩn bị bản demo,2026-01-23,1,first_person_commitment;no_deadline;mild_noise,yes,2
W1-SHORT-C1-N0-OPS-FPC-NDL-016.txt,transcript_only,W1-SHORT-C1-N0-OPS-FPC-NDL-016,Chuẩn bị bản demo,2026-01-31,1,first_person_commitment;no_deadline;mild_noise,no,2
W1-SHORT-C1-N0-OPS-FPC-NDL-016__with-note.txt,with_note,W1-SHORT-C1-N0-OPS-FPC-NDL-016,Chuẩn bị bản demo,2026-01-31,1,first_person_commitment;no_deadline;mild_noise,yes,2
W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-004.txt,transcript_only,W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-004,Chuẩn bị bản demo,2026-01-19,1,task_without_deadline;negative_context;clean_transcript,no,4
W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-004__with-note.txt,with_note,W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-004,Chuẩn bị bản demo,2026-01-19,1,task_without_deadline;negative_context;clean_transcript,yes,4
W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-012.txt,transcript_only,W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-012,Chuẩn bị bản demo,2026-01-27,1,task_without_deadline;negative_context;clean_transcript,no,2
