priority,case_id,review_status,recap_with_empty_expected,wave,labels,objective,word_count,expected_task_count,transcript_path,expected_output_path,reviewer,review_notes
0,W2-SHORT-C2-N2-IT-PAST-026,pending,yes,2,past_completed_work;informational_statement,Speaker báo cáo các việc đã làm xong; không biến hành động quá khứ thành task mới.,777,0,data/validation/W2-SHORT-C2-N2-IT-PAST-026/transcript.txt,data/validation/W2-SHORT-C2-N2-IT-PAST-026/expected_output.json,,
0,W3-MED-C3-N1-OPS-INT-020,pending,yes,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Release preparation, bug triage, monitoring và documentation. Có assignment bị từ chối rồi chuyển người, recap và task không deadline.",1552,0,data/validation/W3-MED-C3-N1-OPS-INT-020/transcript.txt,data/validation/W3-MED-C3-N1-OPS-INT-020/expected_output.json,,
0,W3-MED-C4-N2-PROD-INT-003,pending,yes,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Meeting summary flow, parser transcript, SP365 display và chi phí. Có distractor về ý tưởng phase sau, correction deadline và reference “phần đó”.",1865,0,data/validation/W3-MED-C4-N2-PROD-INT-003/transcript.txt,data/validation/W3-MED-C4-N2-PROD-INT-003/expected_output.json,,
0,W3-MED-C4-N2-PROD-INT-007,pending,yes,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Meeting summary flow, parser transcript, SP365 display và chi phí. Có distractor về ý tưởng phase sau, correction deadline và reference “phần đó”.",1710,0,data/validation/W3-MED-C4-N2-PROD-INT-007/transcript.txt,data/validation/W3-MED-C4-N2-PROD-INT-007/expected_output.json,,
0,W4-LONG-C4-N1-OPS-STATE-012,pending,yes,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",6572,0,data/validation/W4-LONG-C4-N1-OPS-STATE-012/transcript.txt,data/validation/W4-LONG-C4-N1-OPS-STATE-012/expected_output.json,,
0,W4-LONG-C5-N2-SW-STATE-001,pending,yes,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",7342,0,data/validation/W4-LONG-C5-N2-SW-STATE-001/transcript.txt,data/validation/W4-LONG-C5-N2-SW-STATE-001/expected_output.json,,
1,W1-SHORT-C1-N0-IT-DASG-ABS-002,pending,,1,direct_assignment;absolute_date;clean_transcript,Lead giao trực tiếp một task có ngày tuyệt đối; người nhận xác nhận.,535,2,data/validation/W1-SHORT-C1-N0-IT-DASG-ABS-002/transcript.txt,data/validation/W1-SHORT-C1-N0-IT-DASG-ABS-002/expected_output.json,,
1,W1-SHORT-C1-N0-IT-DASG-ABS-010,pending,,1,direct_assignment;absolute_date;clean_transcript,Lead giao trực tiếp một task có ngày tuyệt đối; người nhận xác nhận.,625,2,data/validation/W1-SHORT-C1-N0-IT-DASG-ABS-010/transcript.txt,data/validation/W1-SHORT-C1-N0-IT-DASG-ABS-010/expected_output.json,,
1,W1-SHORT-C1-N0-IT-DASG-ABS-018,pending,,1,direct_assignment;absolute_date;clean_transcript,Lead giao trực tiếp một task có ngày tuyệt đối; người nhận xác nhận.,541,2,data/validation/W1-SHORT-C1-N0-IT-DASG-ABS-018/transcript.txt,data/validation/W1-SHORT-C1-N0-IT-DASG-ABS-018/expected_output.json,,
1,W1-SHORT-C1-N0-IT-FPC-DM-006,pending,,1,first_person_commitment;day_month_deadline;mild_noise,"Cam kết ngôi thứ nhất, deadline ngày/tháng thiếu năm, hội thoại có filler nhẹ.",697,1,data/validation/W1-SHORT-C1-N0-IT-FPC-DM-006/transcript.txt,data/validation/W1-SHORT-C1-N0-IT-FPC-DM-006/expected_output.json,,
