review_order,case_id,wave,word_count,labels,expected_task_count,transcript_path,expected_output_path,review_status,reviewer,review_notes
1,W4-LONG-C4-N3-IT-STATE-002,4,6006,long_distance_correction;long_meeting;owner_handoff;recap_duplicate_risk;task_cancellation;topic_revisited,4,data/validation/W4-LONG-C4-N3-IT-STATE-002/transcript.txt,data/validation/W4-LONG-C4-N3-IT-STATE-002/expected_output.json,pending,,
2,W3-MED-C3-N1-IT-INT-018,3,1332,deadline_replacement;feature_interaction;negative_context;recap_duplicate_risk;unresolved_item,5,data/validation/W3-MED-C3-N1-IT-INT-018/transcript.txt,data/validation/W3-MED-C3-N1-IT-INT-018/expected_output.json,pending,,
3,W5-XL-C5-N2-OPS-STRESS-004,5,11872,ambiguous_reference;extra_long_meeting;heavy_recoverable_noise;long_distance_dependency;multi_step_handoff;multiple_deadline_corrections,1,data/validation/W5-XL-C5-N2-OPS-STRESS-004/transcript.txt,data/validation/W5-XL-C5-N2-OPS-STRESS-004/expected_output.json,pending,,
4,W1-SHORT-C1-N0-OPS-FPC-NDL-008,1,440,first_person_commitment;mild_noise;no_deadline,2,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-008/transcript.txt,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-008/expected_output.json,pending,,
5,W2-SHORT-C3-N1-SW-SUGG-025,2,537,no_active_task;suggestion_not_committed,1,data/validation/W2-SHORT-C3-N1-SW-SUGG-025/transcript.txt,data/validation/W2-SHORT-C3-N1-SW-SUGG-025/expected_output.json,pending,,
6,W1-SHORT-C1-N0-IT-DASG-ABS-002,1,535,absolute_date;clean_transcript;direct_assignment,2,data/validation/W1-SHORT-C1-N0-IT-DASG-ABS-002/transcript.txt,data/validation/W1-SHORT-C1-N0-IT-DASG-ABS-002/expected_output.json,pending,,
7,W1-SHORT-C2-N1-PROD-QACC-RDAY-011,1,453,mild_noise;question_then_acceptance;relative_day_deadline,2,data/validation/W1-SHORT-C2-N1-PROD-QACC-RDAY-011/transcript.txt,data/validation/W1-SHORT-C2-N1-PROD-QACC-RDAY-011/expected_output.json,pending,,
8,W2-SHORT-C2-N1-OPS-NOOWN-004,2,547,task_without_owner;unresolved_owner,3,data/validation/W2-SHORT-C2-N1-OPS-NOOWN-004/transcript.txt,data/validation/W2-SHORT-C2-N1-OPS-NOOWN-004/expected_output.json,pending,,
9,W1-SHORT-C2-N1-PROD-NEG-QUNC-015,1,549,clean_transcript;negative_only;question_unconfirmed,2,data/validation/W1-SHORT-C2-N1-PROD-NEG-QUNC-015/transcript.txt,data/validation/W1-SHORT-C2-N1-PROD-NEG-QUNC-015/expected_output.json,pending,,
10,W2-SHORT-C2-N1-IT-REJT-010,2,667,rejected_without_replacement;task_rejection,0,data/validation/W2-SHORT-C2-N1-IT-REJT-010/transcript.txt,data/validation/W2-SHORT-C2-N1-IT-REJT-010/expected_output.json,pending,,
11,W2-SHORT-C3-N0-PROD-EVTD-015,2,732,dependency_commitment;event_dependent_deadline,3,data/validation/W2-SHORT-C3-N0-PROD-EVTD-015/transcript.txt,data/validation/W2-SHORT-C3-N0-PROD-EVTD-015/expected_output.json,pending,,
12,W2-SHORT-C2-N2-IT-PAST-026,2,777,informational_statement;past_completed_work,0,data/validation/W2-SHORT-C2-N2-IT-PAST-026/transcript.txt,data/validation/W2-SHORT-C2-N2-IT-PAST-026/expected_output.json,pending,,
13,W2-SHORT-C2-N1-OPS-SEPD-016,2,798,deadline_in_separate_sentence;task_mentioned_across_turns,3,data/validation/W2-SHORT-C2-N1-OPS-SEPD-016/transcript.txt,data/validation/W2-SHORT-C2-N1-OPS-SEPD-016/expected_output.json,pending,,
14,W2-SHORT-C3-N1-SW-RWKD-013,2,880,before_day;weekday_current,2,data/validation/W2-SHORT-C3-N1-SW-RWKD-013/transcript.txt,data/validation/W2-SHORT-C3-N1-SW-RWKD-013/expected_output.json,pending,,
15,W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-012,1,476,clean_transcript;negative_context;task_without_deadline,2,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-012/transcript.txt,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-012/expected_output.json,pending,,
16,W1-SHORT-C1-N0-IT-FPC-DM-014,1,500,day_month_deadline;first_person_commitment;mild_noise,4,data/validation/W1-SHORT-C1-N0-IT-FPC-DM-014/transcript.txt,data/validation/W1-SHORT-C1-N0-IT-FPC-DM-014/expected_output.json,pending,,
17,W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-009,1,505,first_person_commitment;negative_context;weekday_deadline,3,data/validation/W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-009/transcript.txt,data/validation/W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-009/expected_output.json,pending,,
